fips,population,white,black,asian,hispanic,ageunder18,married,hhunit,vacanthousing,medhousingval,hhmedhousingcost,hhmedincome,hhfoodstamp,pctage18to24highschool,pctmarriedbothwork
1001,55136,43011,10257,500,1391,14214,23604,20304,2127,136.6,10512,52475,2682,37.7,51.7
1003,191205,165673,17907,1256,8630,43186,85484,73058,32505,168.8,10764,50183,6471,32.3,46
1005,27119,12806,12565,204,1283,5862,9202,9145,2688,89.5,7056,35634,2097,35.7,45.3
1007,22653,17379,4797,19,455,4903,9013,7078,1907,96.3,7260,37984,1125,33.2,40.5
1009,57645,54927,885,57,4880,13877,27146,20934,2934,117.7,8076,44409,2900,34.6,43.4
1011,10693,2803,7640,6,431,2283,2323,3746,723,68.9,6372,34804,794,53.8,38.9
1013,20523,11204,8975,118,233,4835,7065,8253,1681,76.0,6456,31571,2123,32.8,45.6
1015,117186,88125,24396,939,4017,26337,45637,45348,7958,103.3,7644,40919,8904,30.3,44.5
1017,34091,19771,13722,214,158,7398,12280,13901,3043,82.4,7668,32835,2519,46.8,42.8
1019,26042,24207,1283,90,375,5295,13733,11726,4528,98.5,7212,34983,1960,35.2,43.6
1021,43781,37018,4484,104,3366,10725,19352,16281,2965,98.8,7548,41785,2952,42.9,44.1
1023,13546,7558,5896,8,56,2911,5236,5526,1722,59.1,5568,34325,1266,42.3,37.3
1025,25331,13613,11401,51,110,5956,9048,9791,2813,84.7,6120,30951,1907,53.7,40.5
1027,13617,11150,1986,0,424,3021,6002,5572,1184,82.2,6000,35286,877,36.6,39.9
1029,14990,14095,430,69,331,3577,6478,5639,1059,101.0,6924,37008,850,37.6,43.5
1031,50726,39064,8671,696,3236,12124,20445,19086,3562,137.0,8208,45558,2518,28.9,44.2
1033,54491,43356,8712,190,1276,11907,23372,22442,3529,99.9,7716,39914,3874,31.2,43.4
1035,12985,6778,5821,10,206,2898,4748,5030,2036,65.8,4932,24433,1497,43.6,30.9
1037,11247,7549,3524,0,238,2139,4347,4446,2032,73.1,6744,32340,785,25.8,36.6
1039,37881,32025,4868,134,564,8398,16170,14979,3824,90.6,6564,36256,2517,38.1,40.6
1041,13938,10007,3269,228,229,3242,5481,5424,1294,68.1,5904,37349,999,32.5,44
1043,80668,77079,1096,401,3481,18349,37396,31160,5924,107.0,7920,39415,4447,29.5,44.6
1045,50013,37509,9712,599,2929,12064,20398,19470,3323,103.3,7704,44473,3240,41.1,46.8
1047,42743,12318,29758,55,160,11026,10758,16259,3957,79.2,6960,26494,5176,38.3,44.8
1049,71074,62960,1279,206,9922,17855,30967,24743,6300,95.3,6588,37977,3988,32,44.1
1051,80321,60602,16631,617,2180,18540,33584,28617,4368,143.8,10488,54159,3429,35.8,53
1053,38042,23633,12361,52,768,8498,13242,13737,2694,88.0,6060,31422,3404,32.7,40.7
1055,104126,84904,16000,696,3669,23429,42586,40001,7506,100.4,7668,38467,6554,31.5,43.1
1057,17019,14663,2088,42,128,3721,7084,6967,1448,72.7,5520,33144,1619,33.7,40.8
1059,31663,28420,1545,23,4882,7701,12634,12247,1791,86.3,6612,35450,2304,31.1,43.8
1061,26816,23215,2605,109,947,5952,11639,10898,1768,78.1,5964,36268,1995,36.3,48.2
1063,8798,1559,7107,10,39,2068,2353,3282,1709,69.1,5652,22170,1231,42.6,28
1065,15393,6133,8995,41,164,3677,5098,5931,1715,86.8,6324,30839,1499,44.7,43.3
1067,17270,12050,4777,218,418,3753,7684,6900,2034,93.9,7152,42926,1155,44,41.5
1069,103079,72001,26960,845,3251,24856,39234,39464,6380,121.6,8328,41077,5731,36.6,49
1071,53012,48395,1715,219,1413,11708,24040,20425,4345,93.8,6324,36874,3025,29.2,42.7
1073,658834,349052,278587,10020,25116,153288,232475,259397,43202,141.3,10656,45239,39967,28.1,51.7
1075,14268,12460,1659,2,195,3094,7305,6147,1176,66.8,5508,36021,1433,29.8,46.4
