"fips","area"
"01001",1565.4
"01003",5250.7
"01005",2342.7
"01007",1621.8
"01009",1685.1
"01011",1619.1
"01013",2014.7
"01015",1585.8
"01017",1562.1
"01019",1553.9
"01021",1815.1
"01023",2385
"01025",3244.2
"01027",1569.5
"01029",1453
"01031",1762.5
"01033",1611.3
"01035",2208.5
"01037",1725.8
"01039",2703.4
"01041",1582.3
"01043",1955.5
"01045",1457.4
"01047",2573.9
"01049",2016.8
"01051",1701.7
"01053",2468.6
"01055",1420.9
"01057",1630
"01059",1674.5
"01061",1499.5
"01063",1709.2
"01065",1700.3
"01067",1471.9
"01069",1506.5
"01071",2918.3
"01073",2910.7
"01075",1568.1
"01077",1867.4
"01079",1857.5
"01081",1595
"01083",1572.6
"01085",1877.9
"01087",1588.2
"01089",2104.9
"01091",2545.1
"01093",1925.8
"01095",1614.2
"01097",4258
"01099",2679.1
"01101",2071.8
"01103",1551.5
"01105",1874.8
"01107",2305.4
"01109",1743.1
"01111",1512.9
"01113",1676.2
"01115",1692.9
"01117",2096.7
"01119",2365.5
"01121",1969.2
"01123",1984.6
"01125",3499.7
"01127",2085.4
"01129",2819.4
"01131",2350.2
"01133",1636.5
"02013",38875.6
"02016",36561.4
"02020",5079
"02050",118450.4
"02060",2298.9
"02068",33092.6
"02070",54586.9
"02090",19279.1
"02100",7063.8
"02105",28267.3
"02110",8427.8
"02122",64107.8
"02130",17295.2
"02150",31262.8
"02164",85268.2
"02170",65416.7
"02180",73238.5
"02185",245520.7
"02188",105539.5
"02195",14721.6
"02198",20320.1
"02220",12511.7
"02230",1201.8
"02240",64903.1
"02261",104480.6
"02270",50952.5
"02275",8966.7
"02282",24508.2
"02290",382813.4
"04001",29055.6
"04003",16106.9
"04005",48583.4
"04007",12420.2
"04009",12020.2
"04011",4787.4
"04012",11690.5
"04013",23891.1
"04015",34862.5
"04017",25923.3
"04019",23799.8
"04021",13919.2
"04023",3206.7
"04025",21051.1
"04027",14294.4
"05001",2677.4
"05003",2436
"05005",1519.6
"05007",2289.3
"05009",1558.7
"05011",1691
"05013",1637.9
"05015",1706.9
"05017",1861.6
"05019",2286.5
"05021",1738.9
"05023",1533.1
"05025",1550.8
"05027",1985.9
"05029",1467.7
"05031",1845.8
"05033",1565
"05035",1648.2
"05037",1611.8
"05039",1730.4
"05041",2122.6
"05043",2164.3
"05045",1719.9
"05047",1604.9
"05049",1606.6
"05051",1902.7
"05053",1686.1
"05055",1501.1
"05057",1919.6
"05059",1611.4
"05061",1541.9
"05063",1998.2
"05065",1512.6
"05067",1661.5
"05069",2366.7
"05071",1768.3
"05073",1411.7
"05075",1534.2
"05077",1604.5
"05079",1482
"05081",1462.7
"05083",1932.9
"05085",2079.3
"05087",2168
"05089",1658.4
"05091",1651.5
"05093",2382.3
"05095",1609.2
"05097",2072.7
"05099",1607.4
"05101",2132
"05103",1916
"05105",1451.8
"05107",1883.8
"05109",1590.6
"05111",1977.7
"05113",2233.8
"05115",2151.7
"05117",1749.8
"05119",2091.8
"05121",1699.1
"05123",1742.9
"05125",1892
